Time,FrameCount,T1
1600813093.004253,2546,1557.504061
1600813093.004253,2546,1557.504061
1600813093.004253,2546,1557.504061
1600813093.004253,2546,1557.504061
1600813093.004253,2546,1557.504061
1600813093.004253,2546,1557.504852
1600813093.004253,2546,1557.504061
1600813093.004253,2546,1557.503271
1600813093.004253,2546,1557.503271
1600813093.004253,2546,1557.504061
1600813093.004253,2546,1557.504061
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504852
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504061
1600813093.004328,2547,1557.504061
1600813093.005460,2548,1557.504061
1600813093.005460,2548,1557.504852
1600813093.005460,2548,1557.504061
1600813093.005460,2548,1557.504852
1600813093.005460,2548,1557.504061
1600813093.005460,2548,1557.504852
1600813093.005460,2548,1557.504061
1600813093.005460,2548,1557.504061
1600813093.005460,2548,1557.504061
1600813093.005460,2548,1557.504061
1600813093.005460,2548,1557.504061
1600813093.005528,2549,1557.504061
1600813093.005528,2549,1557.504061
1600813093.005528,2549,1557.504061
1600813093.005528,2549,1557.504061
1600813093.005528,2549,1557.504061
1600813093.005528,2549,1557.504852
1600813093.005528,2549,1557.504061
1600813093.005528,2549,1557.503271
1600813093.005528,2549,1557.504852
1600813093.005528,2549,1557.504061
1600813093.005528,2549,1557.504852
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504852
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504061
1600813093.005592,2550,1557.504061
1600813093.006776,2551,1557.504061
1600813093.006776,2551,1557.504061
1600813093.006776,2551,1557.503271
1600813093.006776,2551,1557.504061
1600813093.006776,2551,1557.504061
1600813093.006776,2551,1557.504061
1600813093.006776,2551,1557.504061
1600813093.006776,2551,1557.504061
1600813093.006776,2551,1557.504061
1600813093.006776,2551,1557.505642
1600813093.006776,2551,1557.504061
1600813093.006838,2552,1557.504061
1600813093.006838,2552,1557.503271
1600813093.006838,2552,1557.504061
1600813093.006838,2552,1557.504061
1600813093.006838,2552,1557.504061
1600813093.006838,2552,1557.504061
1600813093.006838,2552,1557.504061
1600813093.006838,2552,1557.504061
1600813093.006838,2552,1557.504061
1600813093.006838,2552,1557.504852
1600813093.006838,2552,1557.504061
1600813093.008014,2553,1557.504061
1600813093.008014,2553,1557.504852
1600813093.008014,2553,1557.504852
1600813093.008014,2553,1557.504852
1600813093.008014,2553,1557.504061
1600813093.008014,2553,1557.504061
1600813093.008014,2553,1557.504061
1600813093.008014,2553,1557.504061
1600813093.008014,2553,1557.504061
1600813093.008014,2553,1557.504061
1600813093.008014,2553,1557.504061
1600813093.008090,2554,1557.504061
1600813093.008090,2554,1557.504061
1600813093.008090,2554,1557.504852
1600813093.008090,2554,1557.504061
1600813093.008090,2554,1557.504061
1600813093.008090,2554,1557.503271
1600813093.008090,2554,1557.504061
1600813093.008090,2554,1557.504061
1600813093.008090,2554,1557.504061
1600813093.008090,2554,1557.504061
1600813093.008090,2554,1557.504852
1600813093.008154,2555,1557.504061
1600813093.008154,2555,1557.504061
1600813093.008154,2555,1557.504061
1600813093.008154,2555,1557.504061
1600813093.008154,2555,1557.504852
1600813093.008154,2555,1557.504061
1600813093.008154,2555,1557.503271
1600813093.008154,2555,1557.503271
1600813093.008154,2555,1557.504061
1600813093.008154,2555,1557.504061
1600813093.008154,2555,1557.504061
1600813093.009333,2556,1557.504061
1600813093.009333,2556,1557.504061
1600813093.009333,2556,1557.504852
1600813093.009333,2556,1557.503271
1600813093.009333,2556,1557.504061
1600813093.009333,2556,1557.503271
1600813093.009333,2556,1557.504852
1600813093.009333,2556,1557.504061
1600813093.009333,2556,1557.504061
1600813093.009333,2556,1557.504852
1600813093.009333,2556,1557.504061
1600813093.009410,2557,1557.503271
1600813093.009410,2557,1557.504852
1600813093.009410,2557,1557.504061
1600813093.009410,2557,1557.504061
1600813093.009410,2557,1557.504061
1600813093.009410,2557,1557.504061
1600813093.009410,2557,1557.504852
1600813093.009410,2557,1557.504061
1600813093.009410,2557,1557.504852
1600813093.009410,2557,1557.503271
1600813093.009410,2557,1557.504852
1600813093.009473,2558,1557.504061
1600813093.009473,2558,1557.504061
1600813093.009473,2558,1557.504061
1600813093.009473,2558,1557.504852
1600813093.009473,2558,1557.504061
1600813093.009473,2558,1557.503271
1600813093.009473,2558,1557.504061
