Time,T2
1600276958.097215,1540.425923
1600276958.097215,1540.425150
1600276958.097215,1540.425150
1600276958.097215,1540.425150
1600276958.097215,1540.422831
1600276958.097215,1540.425150
1600276958.097215,1540.423604
1600276958.097215,1540.424377
1600276958.097215,1540.425150
1600276958.097215,1540.423604
1600276958.097215,1540.423604
1600276958.098590,1540.422058
1600276958.098590,1540.427468
1600276958.098590,1540.425923
1600276958.098590,1540.424377
1600276958.098590,1540.425150
1600276958.098590,1540.425150
1600276958.098590,1540.423604
1600276958.098590,1540.424377
1600276958.098590,1540.425150
1600276958.098590,1540.425150
1600276958.098590,1540.424377
1600276958.098650,1540.424377
1600276958.098650,1540.425923
1600276958.098650,1540.424377
1600276958.098650,1540.426695
1600276958.098650,1540.422058
1600276958.098650,1540.424377
1600276958.098650,1540.423604
1600276958.098650,1540.422058
1600276958.098650,1540.424377
1600276958.098650,1540.423604
1600276958.098650,1540.422058
1600276958.098711,1540.423604
1600276958.098711,1540.425150
1600276958.098711,1540.425923
1600276958.098711,1540.425923
1600276958.098711,1540.425923
1600276958.098711,1540.422831
1600276958.098711,1540.423604
1600276958.098711,1540.425150
1600276958.098711,1540.426695
1600276958.098711,1540.425150
1600276958.098711,1540.425923
1600276958.099895,1540.425923
1600276958.099895,1540.424377
1600276958.099895,1540.425150
1600276958.099895,1540.426695
1600276958.099895,1540.424377
1600276958.099895,1540.422831
1600276958.099895,1540.422831
1600276958.099895,1540.426695
1600276958.099895,1540.424377
1600276958.099895,1540.425923
1600276958.099895,1540.424377
1600276958.099956,1540.423604
1600276958.099956,1540.425150
1600276958.099956,1540.423604
1600276958.099956,1540.426695
1600276958.099956,1540.425150
1600276958.099956,1540.424377
1600276958.099956,1540.425150
1600276958.099956,1540.423604
1600276958.099956,1540.423604
1600276958.099956,1540.428241
1600276958.099956,1540.425150
1600276959.000023,1540.425150
1600276959.000023,1540.425150
1600276959.000023,1540.425150
1600276959.000023,1540.424377
1600276959.000023,1540.424377
1600276959.000023,1540.424377
1600276959.000023,1540.423604
1600276959.000023,1540.424377
1600276959.000023,1540.423604
1600276959.000023,1540.422831
1600276959.000023,1540.425150
1600276959.001204,1540.424377
1600276959.001204,1540.424377
1600276959.001204,1540.425150
1600276959.001204,1540.424377
1600276959.001204,1540.425923
1600276959.001204,1540.424377
1600276959.001204,1540.424377
1600276959.001204,1540.425150
1600276959.001204,1540.426695
1600276959.001204,1540.422831
1600276959.001204,1540.428241
1600276959.001265,1540.423604
1600276959.001265,1540.425150
1600276959.001265,1540.424377
1600276959.001265,1540.425923
1600276959.001265,1540.426695
1600276959.001265,1540.425923
1600276959.001265,1540.425923
1600276959.001265,1540.424377
1600276959.001265,1540.425150
1600276959.001265,1540.425150
1600276959.001265,1540.425150
1600276959.001333,1540.425150
1600276959.001333,1540.424377
1600276959.001333,1540.424377
1600276959.001333,1540.425150
1600276959.001333,1540.424377
1600276959.001333,1540.425923
1600276959.001333,1540.424377
1600276959.001333,1540.424377
1600276959.001333,1540.423604
1600276959.001333,1540.425150
1600276959.001333,1540.424377
1600276959.002513,1540.424377
1600276959.002513,1540.424377
1600276959.002513,1540.425150
1600276959.002513,1540.423604
1600276959.002513,1540.423604
1600276959.002513,1540.424377
1600276959.002513,1540.425150
1600276959.002513,1540.425923
1600276959.002513,1540.425150
1600276959.002513,1540.425923
1600276959.002513,1540.424377
1600276959.002589,1540.424377
1600276959.002589,1540.422831
1600276959.002589,1540.424377
1600276959.002589,1540.423604
1600276959.002589,1540.422831
1600276959.002589,1540.422831
1600276959.002589,1540.424377
1600276959.002589,1540.423604
1600276959.002589,1540.425150
1600276959.002589,1540.423604
1600276959.002589,1540.424377
1600276959.003754,1540.422831
1600276959.003754,1540.423604
